order = 15:
ref0, ref1,      nR, nG, nPop
0.00, 0.00,      86,  0,  86
0.07, 0.00,      86,  4,  90
0.14, 0.00,      86,  8,  94
0.00, 0.07,      86,  8,  94
0.00, 0.14,      86, 16, 102
0.14, 0.07,      86, 12,  98

order = 17:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      110,  0, 110
0.06, 0.00      110,  4, 114
0.11, 0.00      110,  8, 118
0.15, 0.00      110, 16, 126
0.00, 0.06      110,  8, 118
0.00, 0.11      110, 16, 126
0.00, 0.15      110, 28, 138
0.11, 0.06      110, 12, 122
0.15, 0.06      110, 20, 130
0.15, 0.11      110, 24, 134

order = 19:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      146,  0, 146
0.05, 0.00      146,  4, 150
0.13, 0.00      146, 12, 158
0.15, 0.00      146, 20, 166
0.00, 0.05      146,  8, 154
0.00, 0.13      146, 24, 170
0.00, 0.15      146, 36, 182
0.13, 0.05      146, 16, 162
0.15, 0.05      146, 24, 170
0.15, 0.13      146, 32, 178

order = 21:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      170,  0, 170
0.08, 0.00      170,  8, 178
0.13, 0.00      170, 16, 186
0.15, 0.00      170, 20, 190
0.00, 0.08      170, 16, 186
0.00, 0.13      170, 32, 202
0.00, 0.15      170, 36, 206
0.13, 0.08      170, 24, 194
0.15, 0.08      170, 28, 198
0.15, 0.13      170, 36, 206

order = 23:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      194,  0, 194
0.04, 0.00      194,  4, 198
0.08, 0.00      194,  8, 202
0.11, 0.00      194, 16, 210
0.15, 0.00      194, 24, 218
0.00, 0.04      194,  8, 202
0.00, 0.08      194, 16, 210
0.00, 0.11      194, 28, 222
0.00, 0.15      194, 44, 238
0.08, 0.04      194, 12, 206
0.11, 0.04      194, 20, 214
0.15, 0.04      194, 28, 222
0.11, 0.08      194, 24, 218
0.15, 0.08      194, 32, 226
0.15, 0.11      194, 36, 230

order = 29:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      302,  0, 302
0.04, 0.00      302,  4, 306
0.08, 0.00      302, 16, 318
0.11, 0.00      302, 24, 326
0.14, 0.00      302, 36, 338
0.00, 0.04      302,  8, 310
0.00, 0.08      302, 28, 330
0.00, 0.11      302, 44, 346
0.00, 0.14      302, 60, 362
0.08, 0.04      302, 20, 322
0.11, 0.04      302, 28, 330
0.14, 0.04      302, 40, 342
0.11, 0.08      302, 36, 338
0.14, 0.08      302, 48, 350
0.14, 0.11      302, 56, 358

order = 31:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      350,  0, 350
0.04, 0.00      350,  4, 354
0.07, 0.00      350,  8, 358
0.12, 0.00      350, 24, 374
0.15, 0.00      350, 40, 390
0.00, 0.04      350,  8, 358
0.00, 0.07      350, 16, 366
0.00, 0.12      350, 44, 394
0.00, 0.15      350, 72, 422
0.07, 0.04      350, 12, 362
0.12, 0.04      350, 28, 378
0.15, 0.04      350, 44, 394
0.12, 0.07      350, 32, 382
0.15, 0.07      350, 48, 398
0.15, 0.12      350, 60, 410

order = 35:
ref0, ref1,      nR, nG, nPop
0.00, 0.00      434,  0, 434
0.03, 0.00      434,  4, 438
0.07, 0.00      434, 16, 450
0.09, 0.00      434, 24, 458
0.12, 0.00      434, 36, 470
0.15, 0.00      434, 56, 490
0.00, 0.03      434,  8, 442
0.00, 0.07      434, 28, 462
0.00, 0.09      434, 44, 478
0.00, 0.12      434, 60, 494
0.00, 0.15      434, 92, 526
0.07, 0.03      434, 20, 454
0.09, 0.03      434, 28, 462
0.12, 0.03      434, 40, 474
0.15, 0.03      434, 60, 494
0.09, 0.07      434, 36, 470
0.12, 0.07      434, 48, 482
0.15, 0.07      434, 68, 502
0.12, 0.09      434, 56, 490
0.15, 0.09      434, 76, 510
0.15, 0.12      434, 80, 514

order = 41:
ref0, ref1,      nR, nG, nPop
0.000, 0.000    590,  0, 590
0.020, 0.000    590,  4, 594
0.050, 0.000    590, 16, 606
0.070, 0.000    590, 24, 614
0.100, 0.000    590, 36, 626
0.125, 0.000    590, 56, 646
0.105, 0.000    590, 40, 630
0.000, 0.020    590,  8, 598
0.000, 0.050    590, 28, 618
0.000, 0.070    590, 44, 634
0.000, 0.100    590, 60, 650
0.000, 0.125    590, 92, 682
0.000, 0.105    590, 68, 658
0.050, 0.020    590, 20, 610
0.070, 0.020    590, 28, 618
0.100, 0.020    590, 40, 630
0.125, 0.020    590, 60, 650
0.105, 0.020    590, 44, 634
0.070, 0.050    590, 36, 626
0.100, 0.050    590, 48, 638
0.125, 0.050    590, 68, 658
0.105, 0.050    590, 52, 642
0.100, 0.070    590, 56, 646
0.125, 0.070    590, 76, 666
0.105, 0.070    590, 60, 650
0.125, 0.100    590, 80, 670
0.105, 0.100    590, 64, 654
0.105, 0.125    590, 92, 682
