order = 35
 ref0,  ref1,    nR,  nG, nDir
0.000, 0.000,	434,   0, 434
0.010, 0.000,	434,   0, 434
0.020, 0.000,	434,   4, 438
0.030, 0.000,	434,   4, 438
0.040, 0.000,	434,   8, 442
0.050, 0.000,	434,   8, 442
0.060, 0.000,	434,  16, 450
0.070, 0.000,	434,  16, 450
0.080, 0.000,	434,  16, 450
0.090, 0.000,	434,  24, 458
0.100, 0.000,	434,  28, 462
0.110, 0.000,	434,  36, 470
0.120, 0.000,	434,  36, 470
0.130, 0.000,	434,  40, 474
0.140, 0.000,	434,  48, 482
0.150, 0.000,	434,  56, 490
0.160, 0.000,	434,  64, 498
0.170, 0.000,	434,  64, 498
0.180, 0.000,	434,  72, 506
0.190, 0.000,	434,  84, 518
0.200, 0.000,	434,  92, 526
0.000, 0.010,	434,   0, 434
0.020, 0.010,	434,   4, 438
0.030, 0.010,	434,   4, 438
0.040, 0.010,	434,   8, 442
0.050, 0.010,	434,   8, 442
0.060, 0.010,	434,  16, 450
0.070, 0.010,	434,  16, 450
0.080, 0.010,	434,  16, 450
0.090, 0.010,	434,  24, 458
0.100, 0.010,	434,  28, 462
0.110, 0.010,	434,  36, 470
0.120, 0.010,	434,  36, 470
0.130, 0.010,	434,  40, 474
0.140, 0.010,	434,  48, 482
0.150, 0.010,	434,  56, 490
0.160, 0.010,	434,  64, 498
0.170, 0.010,	434,  64, 498
0.180, 0.010,	434,  72, 506
0.190, 0.010,	434,  84, 518
0.200, 0.010,	434,  92, 526
0.000, 0.020,	434,   8, 442
0.030, 0.020,	434,   8, 442
0.040, 0.020,	434,  12, 446
0.050, 0.020,	434,  12, 446
0.060, 0.020,	434,  20, 454
0.070, 0.020,	434,  20, 454
0.080, 0.020,	434,  20, 454
0.090, 0.020,	434,  28, 462
0.100, 0.020,	434,  32, 466
0.110, 0.020,	434,  40, 474
0.120, 0.020,	434,  40, 474
0.130, 0.020,	434,  44, 478
0.140, 0.020,	434,  52, 486
0.150, 0.020,	434,  60, 494
0.160, 0.020,	434,  68, 502
0.170, 0.020,	434,  68, 502
0.180, 0.020,	434,  76, 510
0.190, 0.020,	434,  88, 522
0.200, 0.020,	434,  96, 530
0.000, 0.030,	434,   8, 442
0.040, 0.030,	434,  12, 446
0.050, 0.030,	434,  12, 446
0.060, 0.030,	434,  20, 454
0.070, 0.030,	434,  20, 454
0.080, 0.030,	434,  20, 454
0.090, 0.030,	434,  28, 462
0.100, 0.030,	434,  32, 466
0.110, 0.030,	434,  40, 474
0.120, 0.030,	434,  40, 474
0.130, 0.030,	434,  44, 478
0.140, 0.030,	434,  52, 486
0.150, 0.030,	434,  60, 494
0.160, 0.030,	434,  68, 502
